unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12526765,JE427761,2021-10-30 11:00:00.000000 UTC,118XX S LAFAYETTE AVE,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,RESIDENCE - YARD (FRONT / BACK),true,false,522,5,34,53,03,1178045.0,1826365.0,2021,2022-01-12 03:48:31.000000 UTC,41.67885611,-87.623918786,"(41.67885611, -87.623918786)"
12369813,JE235280,2021-05-19 01:19:00.000000 UTC,111XX S STATE ST,141C,WEAPONS VIOLATION,UNLAWFUL USE - OTHER DANGEROUS WEAPON,GAS STATION,true,false,522,5,34,49,15,1178229.0,1831287.0,2021,2021-05-26 04:57:08.000000 UTC,41.692358646,-87.623096746,"(41.692358646, -87.623096746)"
12461993,JE348663,2021-08-24 04:45:00.000000 UTC,023XX W CERMAK RD,1360,CRIMINAL TRESPASS,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),true,false,1034,10,25,31,26,1161019.0,1889342.0,2021,2021-08-31 04:47:33.000000 UTC,41.852041917,-87.68450201,"(41.852041917, -87.68450201)"
12390924,JE261496,2021-06-10 11:00:00.000000 UTC,023XX S ROCKWELL ST,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,STREET,true,false,1034,10,12,30,15,1159405.0,1888220.0,2021,2021-06-17 04:54:12.000000 UTC,41.848996341,-87.690456672,"(41.848996341, -87.690456672)"
12985576,JG155516,2021-07-01 12:00:00.000000 UTC,114XX S INDIANA AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,true,true,531,5,9,49,17,,,2021,2023-06-08 04:47:54.000000 UTC,,,
12451227,JE335094,2021-08-12 01:56:00.000000 UTC,007XX N MICHIGAN AVE,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",HOTEL / MOTEL,true,false,1834,18,42,8,08A,1177303.0,1905177.0,2021,2021-08-19 04:51:33.000000 UTC,41.895140898,-87.624255632,"(41.895140898, -87.624255632)"
12535415,JE438633,2021-11-08 06:47:00.000000 UTC,001XX E SUPERIOR ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,true,false,1834,18,42,8,24,1177421.0,1905398.0,2021,2021-11-15 03:49:31.000000 UTC,41.895744656,-87.623815542,"(41.895744656, -87.623815542)"
12408383,JE279778,2021-06-25 11:00:00.000000 UTC,058XX S HARLEM AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,true,true,811,8,23,56,17,1129354.0,1865065.0,2021,2021-09-08 04:46:29.000000 UTC,41.786019306,-87.801274895,"(41.786019306, -87.801274895)"
12429297,JE308557,2021-07-21 12:34:00.000000 UTC,064XX S CALUMET AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",OTHER (SPECIFY),true,false,312,3,20,69,08B,1179561.0,1862428.0,2021,2021-07-28 05:18:06.000000 UTC,41.777783073,-87.617271544,"(41.777783073, -87.617271544)"
12350023,JE211194,2021-04-26 09:35:00.000000 UTC,058XX S RICHMOND ST,0584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,RESIDENCE,true,true,824,8,16,63,26,1157712.0,1865753.0,2021,2021-05-03 04:48:50.000000 UTC,41.787378676,-87.697280532,"(41.787378676, -87.697280532)"
